"id";"data_hora";"status"
"004ohbBYkra5Y841Xnrv";"2022-06-28 20:17:35";inicializado
"004ohbBYkra5Y841Xnrv";"2022-06-28 20:19:52";pagamento_autorizado
"004ohbBYkra5Y841Xnrv";"2022-06-29 18:32:30";etiqueta_postada
"004ohbBYkra5Y841Xnrv";"2022-06-29 18:32:42";completo
"004qhpiqckaPDiQLmuJ2";"2022-02-14 16:21:29";inicializado
"004qhpiqckaPDiQLmuJ2";"2022-02-14 16:22:44";pagamento_autorizado
"004qhpiqckaPDiQLmuJ2";"2022-02-14 20:04:20";etiqueta_postada
"004qhpiqckaPDiQLmuJ2";"2022-02-14 20:04:28";completo
"004RbLSuGk4fTDS6OvHD";"2022-05-06 11:45:20";inicializado
"004RbLSuGk4fTDS6OvHD";"2022-05-06 11:46:10";pagamento_autorizado
"004RbLSuGk4fTDS6OvHD";"2022-05-06 13:09:35";etiqueta_postada
"004RbLSuGk4fTDS6OvHD";"2022-05-06 13:09:40";completo
"004UEz1AR4d9SMJe9A4S";"2021-12-14 17:07:41";inicializado
"004UEz1AR4d9SMJe9A4S";"2021-12-14 17:11:17";pagamento_autorizado
"004UEz1AR4d9SMJe9A4S";"2021-12-14 19:43:20";etiqueta_postada
"004UEz1AR4d9SMJe9A4S";"2021-12-14 19:43:24";completo
"005LAE2esnoGAhHisTaR";"2022-05-10 14:20:17";inicializado
"005QgUn4skRLioSMzn10";"2021-12-17 18:32:32";inicializado
"005QgUn4skRLioSMzn10";"2021-12-17 18:40:51";pagamento_autorizado
"005QgUn4skRLioSMzn10";"2021-12-17 19:46:18";etiqueta_postada
"005QgUn4skRLioSMzn10";"2021-12-17 19:46:43";completo
"006PJG0IJxwDsI2PatUM";"2022-03-09 13:23:12";inicializado
"006PJG0IJxwDsI2PatUM";"2022-03-09 13:26:03";pagamento_autorizado
"006PJG0IJxwDsI2PatUM";"2022-03-10 12:45:30";etiqueta_postada
"006PJG0IJxwDsI2PatUM";"2022-03-10 12:45:41";completo
"006racNCEuSJkvwKweld";"2022-05-27 17:35:05";inicializado
"006racNCEuSJkvwKweld";"2022-05-27 17:45:27";pagamento_autorizado
"006racNCEuSJkvwKweld";"2022-05-27 18:38:39";etiqueta_postada
"006racNCEuSJkvwKweld";"2022-05-27 18:39:03";completo
